id,pace,shooting,passing,dribbling,defending,physical
158023,87,92,92,96,39,66
20801,90,93,82,89,35,78
190871,91,85,87,95,32,58
183277,91,83,86,94,35,66
192985,76,86,92,86,61,78
203376,77,60,70,71,90,86
177003,74,76,89,89,72,66
209331,93,86,81,89,45,74
231747,96,84,78,90,39,75
201024,71,28,54,67,89,87
202126,70,91,79,81,47,83
215914,78,65,77,81,87,83
138956,68,46,58,60,90,82
153079,80,90,77,88,33,74
155862,72,68,75,73,87,85
176580,73,89,80,84,51,84
188545,77,87,74,85,41,82
189511,42,62,80,80,85,80
194765,81,86,84,89,57,72
211110,83,82,84,90,43,64
195864,74,81,86,85,66,86
202652,93,79,78,89,45,57
190460,73,81,90,84,53,63
152729,56,61,72,68,88,80
168542,65,74,88,89,52,57
179813,75,86,72,79,55,83
182493,60,48,64,61,89,83
182521,45,80,90,81,70,69
188350,85,88,84,87,45,66
188567,94,85,75,80,37,69
208722,94,83,77,89,44,74
212218,64,50,71,68,88,82
218667,81,76,83,92,51,67
200145,62,72,75,72,85,89
200104,88,86,80,87,42,68
135507,66,74,79,78,84,79
164240,62,54,72,72,87,78
165153,76,82,80,86,39,77
172871,63,63,74,72,87,79
178603,51,58,76,72,89,76
184087,64,55,72,66,88,79
189332,90,69,81,83,79,73
189509,69,74,85,90,69,63
198219,89,79,85,91,35,47
207865,74,41,73,70,86,77
232363,69,41,59,66,87,82
199556,65,60,84,90,79,66
212622,72,69,86,84,79,78
201942,77,82,80,87,61,78
168651,62,81,86,81,74,70
180206,68,68,87,85,75,67
183898,84,79,84,87,48,68
184344,58,58,69,70,87,79
189242,79,80,84,90,52,64
189513,41,80,88,79,70,69
192387,80,85,63,81,39,76
193301,82,85,75,86,40,74
228702,79,64,84,87,76,76
201535,83,45,62,63,85,80
212190,72,42,55,50,86,82
223848,67,79,80,83,77,84
208421,70,78,79,81,78,78
209499,68,69,78,77,85,83
216267,85,62,77,79,80,75
216460,69,45,52,54,86,82
220440,75,45,68,65,86,80
212198,77,83,87,85,65,74
