id,name,rating,wage
158023,Lionel Andrés Messi Cuccittini,94,565000
20801,Cristiano Ronaldo dos Santos Aveiro,93,405000
190871,Neymar da Silva Santos Junior,92,290000
200389,Jan Oblak,91,125000
183277,Eden Hazard,91,470000
192985,Kevin De Bruyne,91,370000
192448,Marc-André ter Stegen,90,250000
203376,Virgil van Dijk,90,200000
177003,Luka Modrić,90,340000
209331,Mohamed  Salah Ghaly,90,240000
231747,Kylian Mbappé,89,155000
201024,Kalidou Koulibaly,89,150000
202126,Harry Kane,89,220000
212831,Alisson Ramses Becker,89,155000
193080,David De Gea Quintana,89,205000
215914,N'Golo Kanté,89,235000
138956,Giorgio Chiellini,89,215000
153079,Sergio Leonel Agüero del Castillo,89,300000
155862,Sergio Ramos García,89,300000
176580,Luis Alberto Suárez Díaz,89,355000
188545,Robert Lewandowski,89,235000
189511,Sergio Busquets i Burgos,89,300000
194765,Antoine Griezmann,89,370000
211110,Paulo Bruno Exequiel Dybala,88,215000
195864,Paul Pogba,88,250000
210257,Ederson Santana de Moraes,88,185000
202652,Raheem Sterling,88,255000
190460,Christian  Dannemann Eriksen,88,205000
192119,Thibaut Courtois,88,235000
152729,Gerard Piqué Bernabéu,88,285000
162835,Samir Handanovič,88,110000
167495,Manuel Neuer,88,155000
167948,Hugo Lloris,88,150000
168542,David Josué Jiménez Silva,88,265000
179813,Edinson Roberto Cavani Gómez,88,195000
182493,Diego Godín,88,135000
182521,Toni Kroos,88,330000
188350,Marco Reus,88,170000
188567,Pierre-Emerick Aubameyang,88,205000
208722,Sadio Mané,88,220000
212218,Aymeric  Laporte,87,195000
218667,Bernardo Mota Veiga de Carvalho e Silva,87,210000
200145,Carlos Henrique Venancio Casimiro,87,240000
200104,손흥민 孙兴慜,87,185000
135507,Fernando Luiz Rosa,87,200000
164240,Thiago Emiliano da Silva,87,135000
165153,Karim Benzema,87,285000
172871,Jan Vertonghen,87,155000
178603,Mats  Hummels,87,130000
184087,Toby Alderweireld,87,155000
189332,Jordi Alba Ramos,87,240000
189509,Thiago Alcântara do Nascimento,87,180000
198219,Lorenzo Insigne,87,140000
207865,Marcos  Aoás Corrêa,86,120000
232363,Milan Škriniar,86,89000
199556,Marco Verratti,86,140000
186153,Wojciech  Szczęsny,86,135000
212622,Joshua Kimmich,86,125000
201942,Roberto Firmino Barbosa de Oliveira,86,170000
168651,Ivan Rakitić,86,245000
180206,Miralem Pjanić,86,180000
183898,Ángel Fabián Di María Hernández,86,150000
184344,Leonardo Bonucci,86,160000
189242,Philippe Coutinho Correia,86,175000
189513,Daniel Parejo Muñoz,86,69000
192387,Ciro Immobile,86,105000
193301,Alexandre Lacazette,86,165000
230621,Gianluigi Donnarumma,85,34000
228702,Frenkie de Jong,85,195000
201535,Raphaël Varane,85,205000
212190,Niklas Süle,85,115000
223848,Sergej Milinković-Savić,85,73000
